circuits/providers                                   circuits.Provider
circuits/provider-accounts                           circuits.ProviderAccount
circuits/provider-networks                           circuits.ProviderNetwork
circuits/circuit-types                               circuits.CircuitType
circuits/circuits                                    circuits.Circuit
circuits/circuit-terminations                        circuits.CircuitTermination
circuits/circuit-groups                              circuits.CircuitGroup
circuits/circuit-group-assignments                   circuits.CircuitGroupAssignment
circuits/virtual-circuits                            circuits.VirtualCircuit
circuits/virtual-circuit-types                       circuits.VirtualCircuitType
circuits/virtual-circuit-terminations                circuits.VirtualCircuitTermination
core/data-sources                                    core.DataSource
core/data-files                                      core.DataFile
core/jobs                                            core.Job
core/object-changes                                  core.ObjectChange
core/object-types                                    core.ObjectType
core/background-queues                               core.BackgroundQueue
core/background-workers                              core.BackgroundWorker
core/background-tasks                                core.BackgroundTask
dcim/regions                                         dcim.Region
dcim/site-groups                                     dcim.SiteGroup
dcim/sites                                           dcim.Site
dcim/locations                                       dcim.Location
dcim/rack-groups                                     dcim.RackGroup
dcim/rack-types                                      dcim.RackType
dcim/rack-roles                                      dcim.RackRole
dcim/racks                                           dcim.Rack
dcim/rack-reservations                               dcim.RackReservation
dcim/manufacturers                                   dcim.Manufacturer
dcim/device-types                                    dcim.DeviceType
dcim/module-types                                    dcim.ModuleType
dcim/module-type-profiles                            dcim.ModuleTypeProfile
dcim/console-port-templates                          dcim.ConsolePortTemplate
dcim/console-server-port-templates                   dcim.ConsoleServerPortTemplate
dcim/power-port-templates                            dcim.PowerPortTemplate
dcim/power-outlet-templates                          dcim.PowerOutletTemplate
dcim/interface-templates                             dcim.InterfaceTemplate
dcim/front-port-templates                            dcim.FrontPortTemplate
dcim/rear-port-templates                             dcim.RearPortTemplate
dcim/module-bay-templates                            dcim.ModuleBayTemplate
dcim/device-bay-templates                            dcim.DeviceBayTemplate
dcim/inventory-item-templates                        dcim.InventoryItemTemplate
dcim/device-roles                                    dcim.DeviceRole
dcim/platforms                                       dcim.Platform
dcim/devices                                         dcim.Device
dcim/virtual-device-contexts                         dcim.VirtualDeviceContext
dcim/modules                                         dcim.Module
dcim/console-ports                                   dcim.ConsolePort
dcim/console-server-ports                            dcim.ConsoleServerPort
dcim/power-ports                                     dcim.PowerPort
dcim/power-outlets                                   dcim.PowerOutlet
dcim/interfaces                                      dcim.Interface
dcim/front-ports                                     dcim.FrontPort
dcim/rear-ports                                      dcim.RearPort
dcim/module-bays                                     dcim.ModuleBay
dcim/device-bays                                     dcim.DeviceBay
dcim/inventory-items                                 dcim.InventoryItem
dcim/inventory-item-roles                            dcim.InventoryItemRole
dcim/mac-addresses                                   dcim.MACAddress
dcim/cables                                          dcim.Cable
dcim/cable-terminations                              dcim.CableTermination
dcim/cable-bundles                                   dcim.CableBundle
dcim/virtual-chassis                                 dcim.VirtualChassis
dcim/power-panels                                    dcim.PowerPanel
dcim/power-feeds                                     dcim.PowerFeed
dcim/connected-device                                dcim.ConnectedDevice
extras/event-rules                                   extras.EventRule
extras/webhooks                                      extras.Webhook
extras/custom-fields                                 extras.CustomField
extras/custom-field-choice-sets                      extras.CustomFieldChoiceSet
extras/custom-links                                  extras.CustomLink
extras/export-templates                              extras.ExportTemplate
extras/saved-filters                                 extras.SavedFilter
extras/table-configs                                 extras.TableConfig
extras/bookmarks                                     extras.Bookmark
extras/notifications                                 extras.Notification
extras/notification-groups                           extras.NotificationGroup
extras/subscriptions                                 extras.Subscription
extras/tags                                          extras.Tag
extras/tagged-objects                                extras.TaggedItem
extras/image-attachments                             extras.ImageAttachment
extras/journal-entries                               extras.JournalEntry
extras/config-contexts                               extras.ConfigContext
extras/config-context-profiles                       extras.ConfigContextProfile
extras/config-templates                              extras.ConfigTemplate
extras/scripts/upload                                extras.ScriptModule
extras/scripts                                       extras.Script
ipam/asns                                            ipam.ASN
ipam/asn-ranges                                      ipam.ASNRange
ipam/vrfs                                            ipam.VRF
ipam/route-targets                                   ipam.RouteTarget
ipam/rirs                                            ipam.RIR
ipam/aggregates                                      ipam.Aggregate
ipam/roles                                           ipam.Role
ipam/prefixes                                        ipam.Prefix
ipam/ip-ranges                                       ipam.IPRange
ipam/ip-addresses                                    ipam.IPAddress
ipam/fhrp-groups                                     ipam.FHRPGroup
ipam/fhrp-group-assignments                          ipam.FHRPGroupAssignment
ipam/vlan-groups                                     ipam.VLANGroup
ipam/vlans                                           ipam.VLAN
ipam/vlan-translation-policies                       ipam.VLANTranslationPolicy
ipam/vlan-translation-rules                          ipam.VLANTranslationRule
ipam/service-templates                               ipam.ServiceTemplate
ipam/services                                        ipam.Service
tenancy/tenant-groups                                tenancy.TenantGroup
tenancy/tenants                                      tenancy.Tenant
tenancy/contact-groups                               tenancy.ContactGroup
tenancy/contact-roles                                tenancy.ContactRole
tenancy/contacts                                     tenancy.Contact
tenancy/contact-assignments                          tenancy.ContactAssignment
users/users                                          users.User
users/groups                                         users.Group
users/tokens                                         users.Token
users/permissions                                    users.ObjectPermission
users/owner-groups                                   users.OwnerGroup
users/owners                                         users.Owner
users/config                                         users.UserConfig
virtualization/cluster-types                         virtualization.ClusterType
virtualization/cluster-groups                        virtualization.ClusterGroup
virtualization/clusters                              virtualization.Cluster
virtualization/virtual-machine-types                 virtualization.VirtualMachineType
virtualization/virtual-machines                      virtualization.VirtualMachine
virtualization/interfaces                            virtualization.VMInterface
virtualization/virtual-disks                         virtualization.VirtualDisk
vpn/ike-policies                                     vpn.IKEPolicy
